# Crack ledger, grouped by batch. See hashes/overrides/README.md.
#: game-entity-sweep	GameEntity sweep leftovers; its class half merged as CommunityDragon/Data#35
#: pre-ledger-backlog	Predates the ledger; dates from git blame, method not recoverable
#: season16-modes-ui	16.9-16.14 exes + dumps: Monarch/Battlegrounds/TFT, ClientState, keybinds, Params*
#: vfx-driver-graph	IVfxBaseDriver graph; 16.13 exe MetaClass_register table, FNV-1a exact, no attested strings
#: gameplay-texture	A map-sized RGBA render target the game paints into during a match, one gameplay layer per texture channel. The engine spells the subsystem out: shader macros GAMEPLAY_TEXTURE / GAMEPLAY_TEXTURE_VS, a GameplayTextureDataStream, and ASSETS/Shaders/HLSL/GameplayTexture/PS_GAMEPLAY_TEXTURE.ps. Registration order pins each name to its slot, and the Sampler entries are handed straight to Material::AppendSamplerValue. Present in 16.15, no authored data yet.
#: map-graphics-unproven	Two map graphics finds where the hash is the only real evidence. Registration order narrows MapAntiAliasing to a MapA* name and its two U8 fields fit, but nothing in the client ever reads the class, so there is no behaviour to check the string against. RenderTargetSize is a U32 defaulting to 4096 on a class that is itself still unnamed. Plausible, not established - do not send upstream.
#: meta-delta-16.14	16.14 dump (7949266) delta vs 16.13: family templates (VfxPhysics<X>Modifier, <X>RigPoseModifierData, VfxEmission<X>) plus a Start/End shared-prefix pairing proof on DynamicsChainProperties; every hash re-checked for a mov edx,<hash> registrar site in the installed 16.15 client.
#: meta-delta-16.14-unproven	Same 16.14 sweep, names NOT established: WardSkin collides on 0x75895412 with HideRarity so the hash cannot choose between them; PropertyTraits names an empty interface with no structure to corroborate against; CollisionForce has no sibling or numeric support and is gone by 16.15. DO NOT submit upstream.
#: propertyloadable-ui	PropertyLoadable's UI tree. Names pinned by their slot in the client's registration order; UiComponent also shows up in shipped paths.

hash	table	name	batch	cracked	status	pr

# game-entity-sweep
2eddea64	binfields	AllowedSpells	game-entity-sweep	2026-07-20	pending	-
801b0cad	binfields	Buffs	game-entity-sweep	2026-07-20	pending	-
4310d45d	binfields	CasterRequirements	game-entity-sweep	2026-07-20	pending	-
d4db947d	binfields	ColorblindTexturePath	game-entity-sweep	2026-07-20	pending	-
363f1e09	binfields	CompletedItem	game-entity-sweep	2026-07-20	pending	-
55d13682	binfields	ConditionalElements	game-entity-sweep	2026-07-20	pending	-
0c247b0b	binfields	ConditionalScale	game-entity-sweep	2026-07-20	pending	-
38725935	binfields	ControlsScene	game-entity-sweep	2026-07-20	pending	-
9641b3c4	binfields	DefType	game-entity-sweep	2026-07-20	pending	-
f688ec43	binfields	DisabledOverlay	game-entity-sweep	2026-07-20	pending	-
f4019c2e	binfields	DisabledSubtext	game-entity-sweep	2026-07-20	pending	-
b3ddaeab	binfields	EquipTrakey	game-entity-sweep	2026-07-20	pending	-
a02b6406	binfields	FeaturesList	game-entity-sweep	2026-07-20	pending	-
0ccdd309	binfields	FilledTicks	game-entity-sweep	2026-07-20	pending	-
b99d8552	binfields	Format	game-entity-sweep	2026-07-20	pending	-
162f520d	binfields	GameplayRegion	game-entity-sweep	2026-07-20	pending	-
5ad3db8d	binfields	Groupings	game-entity-sweep	2026-07-20	pending	-
d5411c8f	binfields	Holder	game-entity-sweep	2026-07-20	pending	-
02a6ce85	binfields	IconsList	game-entity-sweep	2026-07-20	pending	-
f6e17fdc	binfields	InProgressIcon	game-entity-sweep	2026-07-20	pending	-
fbc9eeef	binfields	InSequence	game-entity-sweep	2026-07-20	pending	-
b606ece6	bintypes	IntConcept	game-entity-sweep	2026-07-20	pending	-
1fe7164e	binfields	InteractionTarget	game-entity-sweep	2026-07-20	pending	-
418af145	bintypes	IsBitSetCondition	game-entity-sweep	2026-07-20	pending	-
20fd5854	bintypes	IsInJungleBlock	game-entity-sweep	2026-07-20	pending	-
4644eb92	binfields	ItemCounts	game-entity-sweep	2026-07-20	pending	-
5307f5e1	binfields	KeybindSet	game-entity-sweep	2026-07-20	pending	-
82d6dcb0	binfields	Keybinds	game-entity-sweep	2026-07-20	pending	-
554b1325	binfields	LocKeys	game-entity-sweep	2026-07-20	pending	-
1e90bc62	bintypes	LocatorEntity	game-entity-sweep	2026-07-20	pending	-
9d021f61	bintypes	LolGameEntity	game-entity-sweep	2026-07-20	pending	-
ce96732e	binfields	MagicalDamageEnhanced	game-entity-sweep	2026-07-20	pending	-
22a237ce	binfields	MaximumRange	game-entity-sweep	2026-07-20	pending	-
377d1a73	binfields	MinScaleChange	game-entity-sweep	2026-07-20	pending	-
636f6a90	binfields	ModifiersGroup	game-entity-sweep	2026-07-20	pending	-
cee348f4	binfields	NamedTeams	game-entity-sweep	2026-07-20	pending	-
301dab05	bintypes	NavRegionDef	game-entity-sweep	2026-07-20	pending	-
b818e45a	binfields	OptionLayout	game-entity-sweep	2026-07-20	pending	-
2d4bc6e6	binfields	OutSequence	game-entity-sweep	2026-07-20	pending	-
5b2e77af	binfields	PropPath	game-entity-sweep	2026-07-20	pending	-
3f65fe98	binfields	RandomizeButton	game-entity-sweep	2026-07-20	pending	-
725d1942	binfields	RewardsGroup	game-entity-sweep	2026-07-20	pending	-
eac7c160	binfields	ScrollRegion	game-entity-sweep	2026-07-20	pending	-
e0ece3d9	binfields	SearchbarGroup	game-entity-sweep	2026-07-20	pending	-
8c61159d	binfields	SourcesList	game-entity-sweep	2026-07-20	pending	-
f5d0c797	binfields	StatLocalizations	game-entity-sweep	2026-07-20	pending	-
436cd370	binfields	StatTra	game-entity-sweep	2026-07-20	pending	-
a1832a8c	binfields	StatValue	game-entity-sweep	2026-07-20	pending	-
77f310ef	binfields	Statemachine	game-entity-sweep	2026-07-20	pending	-
cc6fee26	binfields	TeammateSpectator	game-entity-sweep	2026-07-20	pending	-
138a7d5f	binfields	TeamsConfig	game-entity-sweep	2026-07-20	pending	-
c44cfe37	binfields	TeamsLayout	game-entity-sweep	2026-07-20	pending	-
397d10d8	binfields	TiersLayout	game-entity-sweep	2026-07-20	pending	-
bcbc4216	bintypes	TimersViewController	game-entity-sweep	2026-07-20	pending	-
e8de69a5	binfields	TraName	game-entity-sweep	2026-07-20	pending	-

# pre-ledger-backlog
25a09a75	binfields	AbilityResourceSlot	pre-ledger-backlog	2026-07-20	pending	-
b3ec72b9	binfields	AbilityResourceType	pre-ledger-backlog	2026-07-20	pending	-
ee151102	binfields	ActionOnStart	pre-ledger-backlog	2026-07-20	pending	-
dad3f6bb	binfields	ActivateActions	pre-ledger-backlog	2026-07-20	pending	-
888d3a04	binfields	ActivateButton	pre-ledger-backlog	2026-07-20	pending	-
eb01e454	binfields	ActivationSfx	pre-ledger-backlog	2026-07-20	pending	-
74037860	binfields	ActivationThreshold	pre-ledger-backlog	2026-07-20	pending	-
6c8efc75	binfields	ActivationType	pre-ledger-backlog	2026-07-20	pending	-
96b1f469	binfields	ActiveBorder	pre-ledger-backlog	2026-07-20	pending	-
c26f983e	binfields	ActiveColor	pre-ledger-backlog	2026-07-20	pending	-
6d62bdb4	binfields	ActiveFrame	pre-ledger-backlog	2026-07-20	pending	-
d8b7cfd7	binfields	ActiveIcons	pre-ledger-backlog	2026-07-20	pending	-
9c767a76	binfields	ActiveMaterial	pre-ledger-backlog	2026-07-20	pending	-
2c41f9d3	binfields	ActivePing	pre-ledger-backlog	2026-07-20	pending	-
06d4a62e	binfields	ActiveTooltip	pre-ledger-backlog	2026-07-20	pending	-
8c4da8f8	binfields	ActiveTra	pre-ledger-backlog	2026-07-20	pending	-
e404f145	binfields	ActiveUi	pre-ledger-backlog	2026-07-20	pending	-
78811384	binfields	AdditionalData	pre-ledger-backlog	2026-07-20	pending	-
2920447a	binfields	AdditionalRotation	pre-ledger-backlog	2026-07-20	pending	-
c5b58261	binfields	AdditionalSettings	pre-ledger-backlog	2026-07-20	pending	-
ddb9d277	binfields	AdditionalStats	pre-ledger-backlog	2026-07-20	pending	-
79347a3f	binfields	AdditiveVfx	pre-ledger-backlog	2026-07-20	pending	-
199c85a4	binfields	AdditiveVfxs	pre-ledger-backlog	2026-07-20	pending	-
4ab787f3	binfields	AffectsStatus	pre-ledger-backlog	2026-07-20	pending	-
9a6a9339	binfields	AffectsType	pre-ledger-backlog	2026-07-20	pending	-
0be0de52	binfields	AlignX	pre-ledger-backlog	2026-07-20	pending	-
0ce0dfe5	binfields	AlignY	pre-ledger-backlog	2026-07-20	pending	-
dd85c53b	binfields	AliveMaterial	pre-ledger-backlog	2026-07-20	pending	-
e21f1d86	binfields	AllowEmitterRotation	pre-ledger-backlog	2026-07-20	pending	-
4cf24bd7	binfields	AllowInactive	pre-ledger-backlog	2026-07-20	pending	-
302afbcd	binfields	AllyIndex	pre-ledger-backlog	2026-07-20	pending	-
3360db7e	binfields	AlphaCutoff	pre-ledger-backlog	2026-07-20	pending	-
e630d0a5	binfields	AlphaOnly	pre-ledger-backlog	2026-07-20	pending	-
e9faf118	binfields	AlphaSliceRange	pre-ledger-backlog	2026-07-20	pending	-
2ff43743	binfields	AlternativeTooltip	pre-ledger-backlog	2026-07-20	pending	-
f090d2e7	bintypes	AnchorHierarchy	pre-ledger-backlog	2026-07-20	pending	-
696972ed	binfields	AnchorStrawberry	pre-ledger-backlog	2026-07-20	pending	-
1ccc919a	binfields	AnimatedTitle	pre-ledger-backlog	2026-07-20	pending	-
25fdb38f	binfields	AnimationConfig	pre-ledger-backlog	2026-07-20	pending	-
a7cdb46f	binfields	AnonymousTra	pre-ledger-backlog	2026-07-20	pending	-
f359eded	binfields	ArcElement	pre-ledger-backlog	2026-07-20	pending	-
84542686	binfields	Arrow	pre-ledger-backlog	2026-07-20	pending	-
372ea7c1	binfields	AssociatedTrait	pre-ledger-backlog	2026-07-20	pending	-
d631c93e	binfields	AtakhanIcon	pre-ledger-backlog	2026-07-20	pending	-
47dac7e3	binfields	AtakhanScore	pre-ledger-backlog	2026-07-20	pending	-
90fce2a4	binfields	AtakhanValue	pre-ledger-backlog	2026-07-20	pending	-
9ea6766d	binfields	AttachTo	pre-ledger-backlog	2026-07-20	pending	-
01e1cce2	bintypes	AttackableEntity	pre-ledger-backlog	2026-07-20	pending	-
9d9f60d2	bintypes	AttackableUnitDefinition	pre-ledger-backlog	2026-07-20	pending	-
55001320	binfields	AudioBanks	pre-ledger-backlog	2026-07-20	pending	-
9bfe08c0	binfields	AugmentList	pre-ledger-backlog	2026-07-20	pending	-
23433cc1	bintypes	AugmentModifier	pre-ledger-backlog	2026-07-20	pending	-
cce2113c	binfields	AugmentPillar	pre-ledger-backlog	2026-07-20	pending	-
2d96f463	binfields	AugmentRarities	pre-ledger-backlog	2026-07-20	pending	-
8eb174a9	binfields	AutoattackMode	pre-ledger-backlog	2026-07-20	pending	-
f85b5e9b	binfields	AutomaticallyStarts	pre-ledger-backlog	2026-07-20	pending	-
fd597a5a	binfields	AvailableStatus	pre-ledger-backlog	2026-07-20	pending	-
a1072a5e	binfields	BackgroundPath	pre-ledger-backlog	2026-07-20	pending	-
b8e42d01	binfields	BackgroundPos	pre-ledger-backlog	2026-07-20	pending	-
57e55d3c	binfields	BackgroundSpine	pre-ledger-backlog	2026-07-20	pending	-
e6dbf566	binfields	Backlight	pre-ledger-backlog	2026-07-20	pending	-
7d7eabcb	binfields	Backpack	pre-ledger-backlog	2026-07-20	pending	-
ca451de5	binfields	BannedAugments	pre-ledger-backlog	2026-07-20	pending	-
5d22440e	binfields	BannedCharacterRecords	pre-ledger-backlog	2026-07-20	pending	-
d47ce07c	binfields	BannerFrameData	pre-ledger-backlog	2026-07-20	pending	-
02f69cf6	binfields	BannerGroup	pre-ledger-backlog	2026-07-20	pending	-
232bdbbe	binfields	BannerIcon	pre-ledger-backlog	2026-07-20	pending	-
fde6a2d7	bintypes	BarracksDefinition	pre-ledger-backlog	2026-07-20	pending	-
71d0eabd	bintypes	BarracksEntity	pre-ledger-backlog	2026-07-20	pending	-
4397646b	binfields	BarracksProperty	pre-ledger-backlog	2026-07-20	pending	-
371f336e	binfields	BindInfo	pre-ledger-backlog	2026-07-20	pending	-
a1fa32f0	binfields	BirthRandomStartFrame	pre-ledger-backlog	2026-07-20	pending	-
cc2ddcc0	binfields	BlendData	pre-ledger-backlog	2026-07-20	pending	-
bceaaa2a	binfields	BlockButton	pre-ledger-backlog	2026-07-20	pending	-
c8c453d3	binfields	BoardButton	pre-ledger-backlog	2026-07-20	pending	-
7c666488	binfields	Boards	pre-ledger-backlog	2026-07-20	pending	-
d952d55b	bintypes	BoolConcept	pre-ledger-backlog	2026-07-20	pending	-
625b5b86	binfields	BorderColor	pre-ledger-backlog	2026-07-20	pending	-
2189347e	binfields	BorderGroup	pre-ledger-backlog	2026-07-20	pending	-
dbd3d5f3	binfields	BossCharacter	pre-ledger-backlog	2026-07-20	pending	-
f31c8cd4	binfields	BossData	pre-ledger-backlog	2026-07-20	pending	-
56b00b47	binfields	BossName	pre-ledger-backlog	2026-07-20	pending	-
893847cc	bintypes	BotComposition	pre-ledger-backlog	2026-07-20	pending	-
76ecf423	binfields	BotDifficultyLevel	pre-ledger-backlog	2026-07-20	pending	-
61c10808	binfields	BotspellTag	pre-ledger-backlog	2026-07-20	pending	-
5c83cddd	binfields	BottomGroup	pre-ledger-backlog	2026-07-20	pending	-
4154c75c	binfields	BoundsRegion	pre-ledger-backlog	2026-07-20	pending	-
ae8418d9	binfields	BountyGroup	pre-ledger-backlog	2026-07-20	pending	-
ba83bc27	binfields	BountyValue	pre-ledger-backlog	2026-07-20	pending	-
cf85d043	binfields	Buddies	pre-ledger-backlog	2026-07-20	pending	-
5e5ae1f7	binfields	BuddiesGrid	pre-ledger-backlog	2026-07-20	pending	-
ec2d0720	binfields	BuffCaster	pre-ledger-backlog	2026-07-20	pending	-
b3a67af3	binfields	BuffCount	pre-ledger-backlog	2026-07-20	pending	-
6ce00bf0	binfields	BuffCounter	pre-ledger-backlog	2026-07-20	pending	-
d6b6109c	binfields	BuffLink	pre-ledger-backlog	2026-07-20	pending	-
d21ec815	binfields	BuffTarget	pre-ledger-backlog	2026-07-20	pending	-
885aa2aa	binfields	BuffVars	pre-ledger-backlog	2026-07-20	pending	-
f61e9624	binfields	ButtonTarget	pre-ledger-backlog	2026-07-20	pending	-
