batch                         	note
game-entity-sweep             	GameEntity sweep leftovers; its class half merged as CommunityDragon/Data#35
pre-ledger-backlog            	Predates the ledger; dates from git blame, method not recoverable
viewcontroller                	Every ViewController child, across campaigns: the <Feature>ViewController template and its I<Feature> halves, modes UI. The 11 pre-ledger rows and NexusFinisher are unproven - do not submit those.
season16-modes-ui             	16.9-16.14 shipped data + dumps: Monarch/Battlegrounds/TFT, ClientState, keybinds, Params*
vfx-driver-graph              	IVfxBaseDriver graph; 16.13 MetaClass_register table, FNV-1a exact, no attested strings
gameplay-texture              	Map-sized RGBA render target painted during a match, one gameplay layer per channel. Engine names it: GAMEPLAY_TEXTURE macros, PS_GAMEPLAY_TEXTURE.ps. Registration order pins the slots.
light-regions                 	Named from the shipped shader: LightRegions.ps reflection declares struct LightRegionRenderData and its members, matching the class field for field. red/green/blue complete the known alpha.
light-regions-unproven        	Same work. Behaviour is settled but no string attests these spellings, so they are convention over attested vocabulary. DO NOT submit.
map-graphics-unproven         	Hash-led map graphics names, none attested in any string. MapSSAORenderer and MapChunkVisibility are bracket-supported; MapAntiAliasing and RenderTargetSize are not. DO NOT submit.
map-quality-lod               	Per-map geometry LOD gate. EnvironmentAsset::BeginLoad tests the byte against the five EnvironmentQuality bits and picks a mapgeo LOD by bit position.
map-shader-defines            	Four List2<String> on one map feature, all landing on <Domain>Defines: Character, Environment, Particle, PostEffect. Defines means shader defines here (featureDefines, baseDefines). Owner unnamed.
meta-delta-16.14              	16.14 delta vs 16.13: family templates (VfxPhysics<X>Modifier, <X>RigPoseModifierData, VfxEmission<X>) plus a Start/End prefix-pairing proof. Every hash re-checked for a registrar site in 16.15.
meta-delta-16.14-unproven     	Same sweep, names not established: WardSkin collides with HideRarity, PropertyTraits is an empty interface, CollisionForce has no support and is gone by 16.15. DO NOT submit.
propertyloadable-ui           	PropertyLoadable's UI tree. Names pinned by their slot in the client's registration order; UiComponent also shows up in shipped paths.
ssao-casing                   	The registration inversion here is fixable by re-casing, which only 13-26% of inversions are; the method scores 92% on ground truth. Order forces MapSS, OMIT_SSAO gives SSAO. Both entries or neither.
sequencer-actions             	ISequenceAction family placed by registration order in the shipped 16.15 client, corroborated by base shape, Sfx/Vfx closure and shipped data; blind control 15/15. Ui/Fov spellings are convention.
semantic-pass-family          	Same generator as semantic-pass-structural, but attestation is family consistency only and no second method confirms these individually. DO NOT submit as they stand. See docs/semantic-pass.md
semantic-pass-structural      	Names proposed from each unnamed class's own neighbourhood in the meta, not wordlist recombination. 417k proposals, 0.71 expected chance hits, 254 landed. Method and limits: docs/semantic-pass.md
data-section-strings          	Whole NUL-terminated data-section strings hashed against dumps/ unresolved hashes. Whole-string matches only, never a fragment or a prose token. See docs/string-attestation.md
exe-strings                   	Every string the shipped Windows exe has carried, per build, hashed against dumps/ unresolved hashes. ~25k probes, 0.03 expected chance hits. See docs/string-attestation.md
gamemode-configs              	IGameModeConfigBase family and its inner classes, named by per-target search over each class's recursive structure vocabulary; 0.001-0.007 expected chance hits per target. See docs/gamemode-configs.md
gamemode-configs-unproven     	Same pass: the per-tier vfx block AugmentClientConfig maps. Augment and Tier attested, Display is convention. DO NOT submit as it stands. See docs/gamemode-configs.md
guest-of-honor                	Arena Guest of Honor mode config (16.13+), instances only in map30.bin; FNV reproduced, attested by shipped Cherry_GoH_* paths and strings. See docs/gamemode-configs.md
map-entity-templates          	MapPlaceableBase's Entity/EntityTemplate/EntityPrefab/Definition/GeComponent lattice, plus the shipped strings that name three of its stems. See docs/map-entity-templates.md
character-outline             	Jade's toon outline on SkinMeshDataProperties. Recombination at 0.007 expected chance hits over the Outline-naming slice, attested by 21 shipped *_CharacterOutline_inst. See docs/character-outline.md
logic-drivers                 	ILogicDriver family: suffix folding + lattice completion, corroborated by shipped .bin driver graphs and client-binary strings. docs/logic-drivers.md
animation-rig                 	Rig data: the 16.12 joint offset map, and the blend data embedded by JointOrientationEventData.
audio-events                  	Audio: the 16.13 bank class (bankPath) and the audio context event type root with its announcer VO child. Repo casing rule forces the Vo spelling.
character-gameplay            	Character-side gameplay: the ModifiableFloat numeric modifier pair, the unit logic data interface, the death-helper definition with its respawn sequence, and CharacterRecord's spell level-up list.
cheat-commands                	Timer cheat in the Cheat command family; TimerId plus one unresolved float.
client-state-machine          	The 16.9-16.12 client state machine: ClientState children for LoL and TFT plus the ClientState/Ui manager pair. Whole set dead by 16.13; slots fixed by the named ClientState* siblings.
clustered-lighting            	MapDynamicLighting's cluster grid: x/y/z fold to one stem, anchored search returns exactly MaxNumClusters; the rest single-hash with matching defaults. See docs/clustered-lighting.md
dynamic-camera                	Camera update strategy roots: the dynamic-camera one held by DynamicCameraSettings.CameraUpdater beside ThirdPersonCameraUpdateStrategy, and the third-person updater under IMonarchCameraUpdater.
entity-scripting              	GameEntity scripting vocabulary: script events, entity conditions, the script base and two value getters. Each name sits in a slot the IScriptEvent/IScriptCondition/*Get families predict.
event-params                  	BaseParams event payloads, all 16.7 and field-less: the original spell-cast/player-report pair plus alert, active-item telemetry and item spell cast.
game-entity-blocks            	GameEntityBlock's script-block set. Suffix folding, two 2x2 lattices, the 15.17 EntityGroup->EntityTag rename; shipped position vars and client strings attest. docs/game-entity-blocks.md
game-entity-runtime           	Game-entity runtime leftovers: the locator preview parent, the 15.22-only superward region entity, the 16.15 tag-list interface and its linked child, and a LolGameEntityDefinition optional config.
lol-keybind-checks            	LoL keybind checks: the root carrying InvertResult and the keybind-set check held by LolKeybindSet.
minimap-icons                 	Minimap and entity icons: the icon texture held by GameEntityIconData, the minimap icon modifier root, and the timer style set under MinimapTimerStyleSheet.
modes-framework               	Modes framework: the state transition interface behind a mode state's NextState, and the LoL modes team component data beside ChampionSpecComponentData.
monarch-entity-defs           	Monarch vocabulary - day/night, properties, recipes, targeting - all dead by 16.4. LOCAL: unshipped mode, held back from upstream like the rest of *Monarch* (see overrides/README).
options-ui                    	Options menu: the filter-item root, the override option item parent of OptionItemHotkeys with its expandable group child, and the control-selection template pairing OptionItemControlSelectionSettings.
rewards-progression           	Progression and rewards: the quest record and its condition data under CharacterQuestListConfig, milestone behaviours under MilestoneDefinition, and the media interface on IRewardBase.
script-blocks                 	Script-block categories under IScriptBlock - lobby, game screen with its client root, level - plus ConceptBlockBase, ExecuteFunctionLevelBlock and the if-condition block.
sequence-action-instances     	ISequenceActionInstance set named 1:1 off the ISequenceAction verbs (the 16.4 cohort carries the EntityGroup->EntityTag rename), plus IParametricSequenceAction, the action group and follow-path curve.
shader-graph                  	Shader graph function definition - path, name, category, input/output lists - and the Id/name/type record its input list embeds.
skin-cosmetics                	Skin data: the loadable skin-augment modifier interface, the spawn-in sequence block on SkinCharacterDataProperties, the basic-augment group under SkinAugmentCategories, and the splash upgrade tier.
tft-data                      	TFT data classes: cutscene conditional and value provider, the condition/map-condition pair and its script child, display tags, the item display slot, and the TftCharacter game-mode constant.
ui-data-binding               	UI data binding: the variable interface behind UiComponent.VariableDefaults, the driver-updated value element, and the data-value mixin carried by ItemData and SpellObject.
vfx-components                	Vfx component-side data: material container, emission surface root, legacy physics linger, the 16.9 rgb base and its value wrapper, spell-level color data, and the deprecated point emitter shape.
vfx-logic-drivers             	Driver-graph leftovers: the Vector4 switch and rgba scale drivers completing the IVfxBaseDriver lattice, the bool material driver, and the material driver-source interface.
ability-preview               	Ability preview data: the Wasd/PointAndClick video pair keyed on AbilityPreviewViewController, and the CharacterRecord-side trigger/condition record.
augment-data                  	Augment leaf data: the quest hash behind AugmentData.QuestData, and the per-level texture block mapped by U8 tier inside AugmentSlot's display record.
chroma-data                   	IChromaData's two implementations: the preset selector carrying SelectedPreset over Rarity/Description overrides, and the custom pair chromaColor1/chromaColor2.
lol-keybinds                  	LoL keybind leaves beside the named ILolKeybindCheck pair: the ping-select bool keybind under InputEventBoolKeybind, and the Ui set under LolKeybindSet held by WasdInputUpdater.
mapgeo-extension              	Standalone 16.2+ value class of String-keyed Bool/Vec4/texture maps, the extension side-channel a mapgeo carries.
portraits                     	Portrait vocabulary (16.10+): the hash-list set linked from an IGameModeConfigClient, and the Id/NameTraKey record Portrait links.
socket-definitions            	Abstract socket root on SkinMeshDataProperties.SocketDefinitions (16.15+): registered ctor-less with a 6-slot vtable, one AString name, and a single child carrying the joint/offset block.
tooltip-ui                    	Tooltip scene layout embedded by TooltipViewController: one element hash per slot - title/subtitle/postscript pairs, hr rules, caret, backdrop.
